	name	latitude	longitude	scores	category	price
1601	Bottega Veneta(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1602	例外(中信泰富店)	31.23598467811967	121.45792487342092	-	shops	0
1603	李黎明(南京西路店)	31.236139191415656	121.45774433497469	-	shops	0
1604	耐克(南京西路四店)	31.23640847026459	121.45878134340522	-	shops	0
1605	耐克(南京西路五店)	31.23582377745153	121.45793591943605	-	shops	0
1606	耐克(金鹰店)	31.236506470721615	121.4566260757571	-	shops	0
1607	绣花张古董店	31.235116527095407	121.45411511043744	-	shops	0
1608	写意空间家居	31.235721938685078	121.4562310135559	-	shops	0
1609	Swatch(南西二店)	31.236132723926726	121.45840626640302	-	shops	0
1610	亨达利钟表行(南西店)	31.237220486644024	121.4597982816765	-	shops	0
1611	都彭(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1612	艾宝家具(南京西路店)	31.235721938685078	121.4562310135559	-	shops	0
1613	RIZ	31.23709134278742	121.4592877783954	-	shops	0
1614	odbo(中信泰富店)	31.23598467811967	121.45792487342092	-	shops	0
1615	KOOKAI(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1616	Just Cavalli(恒隆广场店)	31.235721938685078	121.4562310135559	-	shops	0
1617	JEEP(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1618	HIELD	31.23709134278742	121.4592877783954	-	shops	0
1619	姬龙雪(中信泰富店)	31.236139191415656	121.45774433497469	-	shops	0
1620	GUY LAROCHE(中信泰富店)	31.236139191415656	121.45774433497469	-	shops	0
1621	Gieves&Hawkes(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1622	FA:GE(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1623	EASY SPIRIT(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1624	Dyrberg/Kern(泰富广场店)	31.236139191415656	121.45774433497469	-	shops	0
1626	Atsuro Tayama(南京西路店)	31.235721938685078	121.4562310135559	-	shops	0
1627	ARENA(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1628	Abebi	31.235721938685078	121.4562310135559	-	shops	0
1629	23区(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1630	雅致瓷偶	31.235721938685078	121.4562310135559	-	shops	0
1631	美津浓(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1632	Officine Panerai(恒隆店)	31.236237665666607	121.45883150567151	-	shops	0
1634	强生皇家玫瑰园	31.238570040629575	121.46112815068678	-	shops	0
1635	嘉格纳	31.23639217383446	121.45865096163939	-	shops	0
1636	智力苑电玩专卖(新闸店)	31.24220154186644	121.45993526104454	-	shops	0
1637	GANT(中信泰富店)	31.23590106883998	121.45720679856302	-	shops	0
1638	Salute	31.23709134278742	121.4592877783954	-	shops	0
1640	ANNA PUCCI	31.23709134278742	121.4592877783954	-	shops	0
